edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,id,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono,scoring_abandono
55,0,Travel_Rarely,Research & Development,8,Universitaria,Medical,84,Muy_Alta,Alta,4,Manager,Alta,Divorced,14756,2,Yes,14,Alta,Alta,3,21,2,5,0,2,177072,37185.119999999995,0.06967294893550738
36,0,Travel_Frequently,Research & Development,11,Universitaria,Life Sciences,85,Media,Alta,2,Manufacturing Director,Alta,Single,6499,1,No,13,Alta,Alta,0,6,3,6,0,3,77988,16377.48,0.017058475966889093
45,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,86,Media,Alta,3,Research Scientist,Alta,Divorced,9724,2,No,17,Alta,Alta,1,25,2,1,0,0,116688,24504.48,0.05518683406397016
35,0,Travel_Frequently,Research & Development,1,Universitaria,Medical,88,Media,Alta,1,Research Scientist,Alta,Married,2194,4,No,13,Alta,Muy_Alta,1,5,2,3,1,2,26328,4238.808,0.03975254632004119
36,1,Travel_Rarely,Research & Development,9,Secundaria,Medical,90,Muy_Alta,Media,1,Research Scientist,Media,Married,3388,0,Yes,17,Alta,Baja,1,2,0,1,0,0,40656,8009.232,0.6392339376798138
59,0,Travel_Frequently,Sales,1,Secundaria,Life Sciences,91,Baja,Media,2,Sales Executive,Media,Single,5473,7,No,11,Alta,Muy_Alta,0,20,2,4,1,3,65676,13397.903999999999,0.2677953158977793
29,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,94,Alta,Alta,1,Research Scientist,Alta,Married,2703,0,No,23,Muy_Alta,Muy_Alta,1,6,3,5,0,4,32436,6389.892,0.022588322434616018
31,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,95,Alta,Alta,1,Research Scientist,Alta,Single,2501,1,No,17,Alta,Media,0,1,4,1,1,0,30012,5912.3640000000005,0.1759009041517065
32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,96,Media,Alta,2,Research Scientist,Alta,Married,6220,1,No,17,Alta,Media,2,10,3,10,0,9,74640,15226.56,0.023275311908111326
36,0,Travel_Rarely,Research & Development,6,Master,Life Sciences,97,Media,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,3038,3,No,12,Alta,Media,0,5,3,1,0,0,36456,7181.832,0.07619548411735261
31,0,Travel_Rarely,Research & Development,8,Universitaria,Life Sciences,98,Alta,Alta,2,Manufacturing Director,Alta,Single,4424,1,No,23,Muy_Alta,Muy_Alta,0,11,2,11,1,8,53088,10829.952,0.036505410991261526
35,0,Travel_Rarely,Sales,1,Secundaria,Marketing,100,Alta,Media,2,Sales Executive,Media,Single,4312,0,No,14,Alta,Media,0,16,2,15,2,8,51744,10555.776,0.09522517390056043
45,0,Travel_Rarely,Research & Development,6,Universitaria,Other,101,Muy_Alta,Alta,3,Research Director,Alta,Married,13245,4,Yes,14,Alta,Media,0,17,3,0,0,0,158940,33377.4,0.05302143025895255
37,0,Travel_Rarely,Research & Development,7,Universitaria,Medical,102,Baja,Alta,3,Research Director,Alta,Single,13664,4,No,13,Alta,Baja,0,16,3,5,0,2,163968,34433.28,0.07156768548372043
46,0,Travel_Rarely,Human Resources,5,Universitaria,Medical,103,Media,Alta,2,Human Resources,Alta,Divorced,5021,8,Yes,22,Muy_Alta,Muy_Alta,1,16,2,4,0,2,60252,12291.408,0.10033934394094306
30,0,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,104,Muy_Alta,Media,2,Laboratory Technician,Media,Married,5126,1,Yes,12,Alta,Alta,2,10,1,10,3,0,61512,12548.447999999999,0.06597328874798283
35,0,Travel_Rarely,Research & Development,1,Secundaria,Medical,105,Media,Media,1,Research Scientist,Media,Single,2859,1,No,18,Alta,Baja,0,6,3,6,0,4,34308,6758.676,0.12016954636338632
55,0,Travel_Rarely,Sales,1,Universitaria,Life Sciences,106,Baja,Alta,3,Sales Executive,Alta,Married,10239,3,No,14,Alta,Muy_Alta,1,24,4,1,1,0,122868,25802.28,0.12378516888740868
38,0,Non-Travel,Research & Development,6,Primaria,Medical,107,Media,Baja,2,Research Scientist,Baja,Divorced,5329,7,Yes,12,Alta,Muy_Alta,3,17,3,13,1,9,63948,13045.392,0.17809928004901537
34,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,110,Baja,Alta,2,Manufacturing Director,Alta,Married,4325,1,No,15,Alta,Alta,0,5,2,5,1,3,51900,10587.599999999999,0.06078662391342274
56,0,Travel_Rarely,Research & Development,7,Primaria,Life Sciences,112,Muy_Alta,Baja,3,Manufacturing Director,Baja,Single,7260,4,No,11,Alta,Baja,0,37,3,6,0,2,87120,18295.2,0.11796692612504935
23,0,Travel_Rarely,Sales,2,Universitaria,Technical Degree,113,Alta,Alta,1,Sales Representative,Alta,Divorced,2322,3,No,13,Alta,Alta,1,3,3,0,0,0,27864,4486.104,0.2579679046282044
51,0,Travel_Rarely,Research & Development,9,Universitaria,Life Sciences,116,Muy_Alta,Alta,1,Laboratory Technician,Alta,Married,2075,3,No,23,Muy_Alta,Media,2,10,4,4,0,3,24900,4008.9,0.03736144286168064
30,0,Travel_Rarely,Research & Development,2,Secundaria,Life Sciences,117,Alta,Media,2,Healthcare Representative,Media,Married,4152,1,No,19,Alta,Baja,3,11,3,11,10,8,49824,9815.328,0.009342811190134536
46,1,Travel_Rarely,Sales,9,Secundaria,Medical,118,Alta,Media,3,Sales Executive,Media,Single,9619,1,No,16,Alta,Muy_Alta,0,9,3,9,4,7,115428,24239.879999999997,0.42202015320840985
40,0,Travel_Frequently,Research & Development,1,Secundaria,Life Sciences,119,Alta,Media,4,Healthcare Representative,Media,Married,13503,1,No,22,Muy_Alta,Muy_Alta,1,22,3,22,11,11,162036,34027.56,0.016893682972019958
51,0,Travel_Rarely,Sales,21,Universitaria,Marketing,120,Alta,Alta,2,Sales Executive,Alta,Single,5441,0,Yes,22,Muy_Alta,Muy_Alta,0,11,2,10,1,0,65292,13319.568,0.15258226493943716
30,0,Travel_Rarely,Sales,4,Secundaria,Medical,121,Alta,Media,2,Sales Executive,Media,Divorced,5209,1,Yes,12,Alta,Media,3,11,4,11,2,7,62508,12751.632,0.0391632635568358
46,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,124,Alta,Media,3,Healthcare Representative,Media,Married,10673,2,Yes,13,Alta,Alta,1,21,5,10,9,5,128076,26895.96,0.016170634103306863
32,0,Travel_Rarely,Sales,6,Universitaria,Medical,125,Media,Alta,2,Sales Executive,Alta,Single,5010,1,No,16,Alta,Baja,0,12,0,11,5,7,60120,12264.48,0.11363950007278087
54,0,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,126,Baja,Alta,3,Research Director,Alta,Married,13549,9,No,12,Alta,Baja,1,16,5,4,0,3,162588,34143.479999999996,0.033145603526262696
24,0,Travel_Rarely,Sales,3,Universitaria,Other,128,Baja,Alta,2,Sales Executive,Alta,Married,4999,0,No,21,Muy_Alta,Baja,1,4,2,3,0,2,59988,12237.552,0.019076263387446373
28,0,Non-Travel,Sales,4,Universitaria,Medical,129,Media,Alta,2,Sales Executive,Alta,Married,4221,1,No,15,Alta,Media,0,5,3,5,0,4,50652,10333.008,0.0326439853384728
58,0,Travel_Rarely,Sales,10,Universitaria,Medical,131,Muy_Alta,Alta,4,Sales Executive,Alta,Single,13872,0,No,13,Alta,Alta,0,38,1,37,1,8,166464,34957.44,0.08071823956460855
44,0,Non-Travel,Research & Development,23,Universitaria,Medical,132,Media,Alta,2,Laboratory Technician,Alta,Married,2042,4,No,12,Alta,Alta,1,17,3,3,1,2,24504,3945.1440000000002,0.16326921066017658
37,1,Travel_Rarely,Human Resources,6,Universitaria,Human Resources,133,Alta,Alta,1,Human Resources,Alta,Divorced,2073,4,Yes,22,Muy_Alta,Muy_Alta,0,7,3,3,0,2,24876,4005.036,0.3576315308732189
32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,134,Muy_Alta,Alta,1,Research Scientist,Alta,Single,2956,1,No,13,Alta,Muy_Alta,0,1,2,1,0,0,35472,6987.984,0.1905940616711553
20,1,Travel_Frequently,Research & Development,6,Secundaria,Life Sciences,137,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2926,1,Yes,18,Alta,Media,0,1,5,1,1,0,35112,6917.064,0.781295918367347
34,0,Travel_Rarely,Research & Development,6,Universitaria,Other,138,Baja,Alta,2,Research Scientist,Alta,Single,4809,1,No,14,Alta,Alta,0,16,3,16,2,10,57708,11772.431999999999,0.0451235727336033
37,0,Non-Travel,Research & Development,2,Universitaria,Life Sciences,139,Alta,Media,2,Healthcare Representative,Media,Divorced,5163,5,No,14,Alta,Muy_Alta,1,17,2,1,0,0,61956,12639.024,0.037170768570453386
59,0,Non-Travel,Human Resources,2,Secundaria,Human Resources,140,Alta,Media,5,Manager,Media,Married,18844,9,No,21,Muy_Alta,Muy_Alta,1,30,3,3,2,2,226128,47486.88,0.05102580878216182
50,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,141,Baja,Alta,5,Research Director,Alta,Married,18172,3,Yes,19,Alta,Baja,0,28,1,8,0,7,218064,45793.439999999995,0.08130881732164957
25,1,Travel_Rarely,Sales,5,Secundaria,Marketing,142,Alta,Media,2,Sales Executive,Media,Single,5744,1,Yes,11,Alta,Muy_Alta,0,6,1,6,0,3,68928,14061.312,0.3425817960150681
25,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,143,Muy_Alta,Media,1,Research Scientist,Media,Married,2889,1,No,11,Alta,Alta,2,2,2,2,2,1,34668,6829.5960000000005,0.023068180390365303
22,0,Travel_Rarely,Research & Development,15,Universitaria,Medical,144,Media,Alta,1,Laboratory Technician,Alta,Single,2871,1,No,15,Alta,Alta,0,1,5,0,0,0,34452,6787.044,0.41499315429286965
51,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,145,Baja,Media,3,Healthcare Representative,Alta,Single,7484,3,No,20,Muy_Alta,Alta,0,23,1,13,12,8,89808,18859.68,0.05407430695195767
34,1,Travel_Frequently,Research & Development,7,Primaria,Life Sciences,147,Baja,Baja,2,Laboratory Technician,Baja,Single,6074,1,Yes,24,Muy_Alta,Muy_Alta,0,9,3,9,0,6,72888,14869.151999999998,0.3581114863497715
54,0,Non-Travel,Human Resources,26,Master,Human Resources,148,Muy_Alta,Muy_Alta,4,Manager,Muy_Alta,Single,17328,2,Yes,12,Alta,Alta,0,23,3,5,4,4,207936,43666.56,0.08457664086502464
24,0,Travel_Rarely,Research & Development,18,Universitaria,Life Sciences,150,Media,Alta,1,Laboratory Technician,Alta,Married,2774,0,No,12,Alta,Alta,1,6,2,5,1,2,33288,6557.736,0.03728578857852757
34,0,Travel_Rarely,Research & Development,6,Secundaria,Life Sciences,151,Alta,Media,2,Research Scientist,Media,Divorced,4505,6,No,15,Alta,Alta,1,12,3,1,0,0,54060,11028.24,0.051790085682316904
37,0,Travel_Rarely,Sales,3,Universitaria,Life Sciences,152,Alta,Alta,3,Sales Executive,Alta,Single,7428,2,No,12,Alta,Baja,0,12,3,5,1,3,89136,18718.559999999998,0.07017727287784192
34,0,Travel_Rarely,Research & Development,5,Secundaria,Medical,153,Alta,Media,3,Manager,Media,Single,11631,2,No,12,Alta,Muy_Alta,0,14,6,11,5,8,139572,29310.12,0.050023450294110434
36,0,Travel_Frequently,Sales,11,Universitaria,Technical Degree,154,Media,Alta,3,Sales Executive,Alta,Married,9738,0,No,14,Alta,Alta,1,10,6,9,2,8,116856,24539.76,0.0670120867330876
36,0,Travel_Rarely,Research & Development,3,Universitaria,Life Sciences,155,Baja,Alta,1,Laboratory Technician,Alta,Divorced,2835,5,No,22,Muy_Alta,Baja,1,7,2,1,0,0,34020,6701.9400000000005,0.050698518467944494
43,0,Travel_Frequently,Sales,26,Universitaria,Life Sciences,158,Alta,Alta,4,Manager,Alta,Married,16959,1,Yes,12,Alta,Muy_Alta,2,25,3,25,4,12,203508,42736.68,0.06689967888112171
30,0,Travel_Frequently,Research & Development,23,Primaria,Life Sciences,159,Baja,Baja,1,Research Scientist,Baja,Divorced,2613,1,No,25,Muy_Alta,Alta,3,10,2,10,0,9,31356,6177.1320000000005,0.04347019607639305
33,0,Non-Travel,Sales,22,Universitaria,Marketing,160,Alta,Alta,2,Sales Executive,Alta,Married,6146,0,No,13,Alta,Baja,1,8,2,7,0,7,73752,15045.408,0.03178415831555715
56,1,Travel_Rarely,Research & Development,14,Universitaria,Life Sciences,161,Media,Alta,1,Research Scientist,Alta,Married,4963,9,Yes,18,Alta,Baja,3,7,2,5,4,3,59556,12149.423999999999,0.6248276890866943
51,0,Travel_Rarely,Research & Development,6,Universitaria,Life Sciences,162,Baja,Alta,5,Research Director,Alta,Single,19537,7,No,13,Alta,Alta,0,23,5,20,15,15,234444,49233.24,0.10624011397097616
